RT	MZ	LeftRTBorder	RightRTBorder	MZDeviation
281.694	406.22968	278.26	287.245	69.3942402238927
281.694	406.56384	278.26	287.245	72.5839267949066
330.923	415.2104	328.715	335.444	64.6900944677667
332.046	415.5447	329.829	335.444	49.525357921772
339.896	393.41663	336.541	345.533	68.527860654935
339.896	393.6171	336.541	345.533	68.36593227287
339.896	393.81766	336.541	345.533	68.0264059260456
363.658	358.38916	360.274	369.303	63.1436508849553
363.658	358.58972	359.138	371.669	64.3074765223153
381.881	365.53558	378.395	387.457	64.2345130944747
403.257	409.22952	400.971	406.65	55.6167111307249
408.879	356.54044	405.514	414.556	66.5843122871987
417.952	366.48474	413.422	423.562	65.1323162868611
419.089	366.73572	415.692	424.695	64.0788412975227
419.089	366.98654	414.556	423.562	65.0432574447773
434.985	366.19342	432.713	438.479	54.0970943716213
446.43	386.23322	441.883	450.923	71.2781774701123
446.43	386.73434	443.021	449.788	61.6960986707654
447.571	332.16275	443.021	452.174	61.1146192642618
452.174	388.72287	447.571	456.741	68.0947843383065
452.174	388.9736	447.571	456.741	67.8195126867669
521.436	337.10095	519.198	528.244	91.0113127833607
521.436	367.13116	519.198	525.894	46.0870714432698
521.436	368.13467	520.357	525.894	44.4130948057366
530.527	353.25247	525.894	538.524	63.9202890782474
534.085	353.18576	531.799	538.524	74.4650633707566
534.085	354.18924	531.799	538.524	65.078205086106
545.454	354.15903	544.302	548.772	60.1989450897324
548.772	386.28864	545.454	554.427	73.9602386442043
548.772	387.29208	546.537	552.135	53.4996739411324
587.638	352.2447	583.171	592.25	71.0301673809157
598.856	330.24487	593.37	602.179	61.1667336421863
605.369	339.2859	602.179	613.331	73.7431175302023
605.369	340.28925	602.179	611.037	66.1789933122656
607.61	343.3194	605.369	611.037	53.2448792582193
617.917	345.33527	616.761	620.209	42.0750536139449
620.209	338.34058	616.761	625.97	64.5798975694023
620.209	339.3441	617.917	624.846	60.970560560805
620.209	360.32245	617.917	625.97	68.4386998368819
620.209	361.32596	616.761	627.217	73.2856283008071
585.42	338.15906	583	591	83
585.42	354.13162	582	588	86
607	366.30533	606	610	77
450.92	526.00476	444	472	80
450.92	526.25421	444	472	80
450.92	526.50391	444	472	80
450.92	526.75677	444	472	80
456	549.39807	452	474	75
456	549.28741	452	474	75
456	549.51215	452	474	75
456	549.61938	452	474	75
456	549.17352	452	474	75
218	492.1387	215	224	90
218	493.14615	215	224	90
218	494.14981	215	224	90
226	188.06979	221	238	48
226	189.07344	221	238	48
226	190.07755	221	238	49
456	575.1283	447	485	90
456	576.12952	447	485	90
456	577.12372	447	485	90
456	578.12659	447	485	90
456	579.12311	447	480	90
224	188.07048	216	242	51
224	189.07344	216	242	51
224	190.07602	216	242	51
483	353.11569	478	501	56
483	354.11935	478	501	56
