RT	MZ	LeftRTBorder	RightRTBorder	MZDeviation
594.52	251.20043	588.816	596.2728	40
464.19	259.06	461.1177	467.2611	40
464.19	260.06334	461.1177	467.2611	40
559.85	265.1773	557.65720000002	562.48690000002	40
473.4	274.27364	470.3358	475.59949999998	40
530.89	277.17966	528.25639999998	533.52220000002	40
594.52	279.23159	592.32379999998	597.15049999998	40
590.13	279.23165	587.93530000002	592.32379999998	40
511.93	279.23171	508.51030000002	519.04129999998	40
610.32	285.24217	607.68229999998	613.3866	40
610.32	286.24551	607.68229999998	613.3866	40
616.46	287.22104	613.82620000002	618.65350000002	40
500.17	290.26889	497.10169999998	502.36639999998	40
610.32	293.20849	607.68229999998	613.3866	40
594.52	297.2422	592.32379999998	597.15049999998	40
511.14	297.24227	508.9485	513.77620000002	40
602.85	301.14071	600.6609	605.4879	40
597.59	302.14405	594.9564	600.6609	40
600.22	303.23143	598.0284	603.73270000002	40
606.37	303.23153	603.73270000002	608.56249999998	40
616.46	309.20307	613.82620000002	619.09180000002	40
615.58	313.27313	613.3866	617.77540000002	40
616.46	315.25235	613.82620000002	619.09180000002	40
610.76	317.20847	608.12080000002	612.9507	40
600.22	321.24207	598.0284	603.29380000002	40
606.37	321.24218	603.29380000002	608.56249999998	40
451.46	325.24858	449.26969999998	454.0977	40
651.12	337.23413	648.93070000002	653.3187	40
594.96	337.23461	592	599.7867	40
590	337.23461	585.7485	592	40
651.12	338.2375	648.93070000002	653.3187	40
615.58	339.24977	613.3866	618.2145	40
639.72	343.22162	637.52140000002	642.3483	40
623.48	343.22403	621.2853	625.6734	40
651.12	343.2834	648.93070000002	653.3187	40
580.91	343.29536	578.2821	583.5471	40
639.72	344.22479	637.9602	642.78709999998	40
623.48	344.22739	621.7269	625.6734	40
651.12	344.28679	648.93070000002	653.3187	40
651.12	345.2897	648.93070000002	653.3187	40
600.22	361.23438	598.0284	603.73270000002	40
606.37	361.23447	603.73270000002	608.56249999998	40
694.57	379.28089	692.37310000002	696.76960000002	40
689.74	379.28108	687.54949999998	692.37310000002	40
694.57	380.28432	692.37310000002	696.76960000002	40
689.74	380.28448	687.54949999998	692.37310000002	40
711.24	381.29637	709.48990000002	712.9908	40
707.3	381.29674	705.1017	709.48990000002	40
712.99	413.26475	710.8035	714.74599999998	40
501.93	448.21745	499.29469999998	504.1221	40
501.93	453.17281	499.29469999998	504.1221	50
695.01	466.40921	691.05670000002	698.95609999998	40
659.9	502.29185	657.70759999998	662.5338	40
653.76	502.29201	651.56389999998	657.70759999998	40
659.9	503.2954	657.70759999998	662.5338	40
653.76	503.29558	651.56389999998	657.70759999998	40
711.24	546.3515	709.48990000002	713.43010000002	40
707.3	546.35172	705.53749999998	709.48990000002	40
548.44	587.39008	544.93429999998	551.0748	40
639.72	651.42731	637.9602	641.90989999998	40
656.83	655.4585	654.63799999998	658.58509999998	40
633.57	679.38541	631.3779	635.77069999998	40
