RT	MZ	LeftRTBorder	RightRTBorder	MZDeviation
309.288	520.33325	306.288	312.288	87.1666607142857
322.014	564.3596	319.014	325.014	90.3114
368.967	331.25943	365.967	371.967	73.6613878571429
375.992	243.0877	372.992	378.992	67.3634071428571
404.95	246.24252	401.95	407.95	67.5887514285714
404.95	247.24576	401.95	407.95	67.6604114285714
405.388	228.23206	402.388	408.388	66.30229
465.948	245.07825	462.948	468.948	67.5055892857143
474.282	351.2138	471.282	477.282	75.0867
474.282	352.21722	471.282	477.282	75.1583728571429
481.742	340.35748	478.742	484.742	74.3112485714286
490.082	244.19055	487.082	493.082	67.4421821428571
492.277	342.37277	489.277	495.277	74.4551978571429
492.277	354.23294	489.277	495.277	75.3023528571429
501.489	449.221	498.489	504.489	82.0872142857143
501.927	431.1911	498.927	504.927	80.7993642857143
501.927	448.21753	498.927	504.927	82.0155378571429
501.927	476.24878	498.927	504.927	84.01777
511.143	333.26343	508.143	514.143	73.8045307142857
511.143	334.26678	508.143	514.143	73.8761985714286
511.581	356.24884	508.581	514.581	75.4463457142857
511.581	387.18292	508.581	514.581	77.6559228571429
519.48	414.3002	516.48	522.48	79.5928714285714
519.919	432.3108	516.919	522.919	80.8793428571429
530.451	161.09598	527.451	533.451	61.5068557142857
530.451	165.05452	527.451	533.451	61.7896085714286
540.546	172.16953	537.546	543.546	62.2978235714286
540.546	173.17288	537.546	543.546	62.3694914285714
548.442	587.3904	545.442	551.442	91.9564571428571
549.323	416.21442	546.323	552.323	79.7296014285714
549.323	437.19302	546.323	552.323	81.2280728571428
549.323	438.1964	546.323	552.323	81.2997428571429
549.323	460.26892	546.323	552.323	82.8763514285714
549.323	461.27234	546.323	552.323	82.9480242857143
549.758	415.21115	546.758	552.758	79.6579392857143
558.973	414.3002	555.973	561.973	79.5928714285714
558.973	415.30344	555.973	561.973	79.6645314285714
558.973	432.31058	555.973	561.973	80.8793271428571
558.973	433.31406	555.973	561.973	80.9510042857143
558.973	472.30322	555.973	561.973	83.7359442857143
558.973	473.30664	555.973	561.973	83.8076171428572
559.851	225.18481	556.851	562.851	66.0846292857143
582.234	386.32648	579.234	585.234	77.5947485714286
594.518	332.27942	591.518	597.518	73.7342442857143
603.733	222.18254	600.733	606.733	65.8701814285714
604.174	200.20053	601.174	607.174	64.3000378571429
604.174	201.20384	601.174	607.174	64.3717028571429
616.459	331.1848	613.459	619.459	73.6560571428571
616.459	333.20297	613.459	619.459	73.8002121428571
616.459	347.2573	613.459	619.459	74.8040928571429
617.34	329.24686	614.34	620.34	73.5176328571429
617.34	414.2997	614.34	620.34	79.5928357142857
617.34	415.30295	614.34	620.34	79.6644964285714
630.939	425.2144	627.939	633.939	80.3724571428571
633.133	349.14536	630.133	636.133	74.9389542857143
633.133	357.20047	630.133	636.133	75.5143192857143
633.133	368.15915	630.133	636.133	76.2970821428571
633.133	369.15622	630.133	636.133	76.3683014285714
633.133	679.38525	630.133	636.133	98.5275178571429
633.572	358.20364	630.572	636.572	75.5859742857143
633.572	367.15573	630.572	636.572	76.2254092857143
633.572	669.4308	630.572	636.572	97.8164857142857
639.716	651.4276	636.716	642.716	96.5305428571429
641.032	370.24283	638.032	644.032	76.4459164285714
650.686	329.2681	647.686	653.686	73.51915
650.686	332.27908	647.686	653.686	73.73422
650.686	684.41956	647.686	653.686	98.8871114285714
651.125	330.2713	648.125	654.125	73.5908071428571
651.125	343.28342	648.125	654.125	74.5202442857143
651.125	344.2868	648.125	654.125	74.5919142857143
651.125	345.28976	648.125	654.125	74.6635542857143
651.125	359.21613	648.125	654.125	75.658295
651.125	360.2193	648.125	654.125	75.72995
651.125	401.1976	648.125	654.125	78.6569714285714
651.125	673.461	648.125	654.125	98.1043571428571
651.125	683.4167	648.125	654.125	98.8154785714286
651.564	381.19785	648.564	654.564	77.2284178571429
653.758	361.2733	650.758	656.758	75.8052357142857
653.758	362.27676	650.758	656.758	75.8769114285714
656.397	655.4586	653.397	659.397	96.8184714285714
674.385	526.4307	671.385	677.385	87.6021928571429
674.385	527.43414	671.385	677.385	87.6738671428572
680.087	347.19547	677.087	683.087	74.7996764285714
680.525	357.15085	677.525	683.525	75.510775
680.525	408.30798	677.525	683.525	79.1648557142857
682.28	333.15076	679.28	685.28	73.7964828571428
688.424	347.315	685.424	691.424	74.8082142857143
692.373	346.2734	689.373	695.373	74.7338142857143
692.373	373.21048	689.373	695.373	76.6578914285714
693.701	515.3912	690.701	696.701	86.8136571428571
696.77	335.16608	693.77	699.77	73.9404342857143
696.77	336.16934	693.77	699.77	74.0120957142857
696.77	505.3085	693.77	699.77	86.0934642857143
697.2	526.28674	694.2	700.2	87.59191
697.64	483.3265	694.64	700.64	84.5233214285714
700.272	376.22974	697.272	703.272	76.8735528571429
701.15	383.31244	698.15	704.15	77.37946
701.15	384.316	698.15	704.15	77.4511428571429
708.609	332.2914	705.609	711.609	73.7351
714.746	336.3252	711.746	717.746	74.0232285714286
715.185	401.3404	712.185	718.185	78.6671714285714
715.185	402.34402	712.185	718.185	78.7388585714286
715.624	338.34073	712.624	718.624	74.167195
716.065	494.44022	713.065	719.065	85.3171585714286
722.648	552.4821	719.648	725.648	89.4630071428571
727.911	339.3441	724.911	730.911	74.2388642857143
727.911	340.3474	724.911	730.911	74.3105285714286
727.911	675.6742	724.911	730.911	98.2624428571429
728.349	338.3407	725.349	731.349	74.1671928571429
731.416	635.494	728.416	734.416	95.3924285714286
594.52	251.20043	588.816	596.2728	40
464.19	259.06	461.1177	467.2611	40
464.19	260.06334	461.1177	467.2611	40
559.85	265.1773	557.65720000002	562.48690000002	40
473.4	274.27364	470.3358	475.59949999998	40
530.89	277.17966	528.25639999998	533.52220000002	40
594.52	279.23159	592.32379999998	597.15049999998	40
590.13	279.23165	587.93530000002	592.32379999998	40
511.93	279.23171	508.51030000002	519.04129999998	40
610.32	285.24217	607.68229999998	613.3866	40
610.32	286.24551	607.68229999998	613.3866	40
616.46	287.22104	613.82620000002	618.65350000002	40
500.17	290.26889	497.10169999998	502.36639999998	40
610.32	293.20849	607.68229999998	613.3866	40
594.52	297.2422	592.32379999998	597.15049999998	40
511.14	297.24227	508.9485	513.77620000002	40
602.85	301.14071	600.6609	605.4879	40
597.59	302.14405	594.9564	600.6609	40
600.22	303.23143	598.0284	603.73270000002	40
606.37	303.23153	603.73270000002	608.56249999998	40
616.46	309.20307	613.82620000002	619.09180000002	40
615.58	313.27313	613.3866	617.77540000002	40
616.46	315.25235	613.82620000002	619.09180000002	40
610.76	317.20847	608.12080000002	612.9507	40
600.22	321.24207	598.0284	603.29380000002	40
606.37	321.24218	603.29380000002	608.56249999998	40
451.46	325.24858	449.26969999998	454.0977	40
651.12	337.23413	648.93070000002	653.3187	40
594.96	337.23461	592	599.7867	40
590	337.23461	585.7485	592	40
651.12	338.2375	648.93070000002	653.3187	40
615.58	339.24977	613.3866	618.2145	40
639.72	343.22162	637.52140000002	642.3483	40
623.48	343.22403	621.2853	625.6734	40
651.12	343.2834	648.93070000002	653.3187	40
580.91	343.29536	578.2821	583.5471	40
639.72	344.22479	637.9602	642.78709999998	40
623.48	344.22739	621.7269	625.6734	40
651.12	344.28679	648.93070000002	653.3187	40
651.12	345.2897	648.93070000002	653.3187	40
600.22	361.23438	598.0284	603.73270000002	40
606.37	361.23447	603.73270000002	608.56249999998	40
694.57	379.28089	692.37310000002	696.76960000002	40
689.74	379.28108	687.54949999998	692.37310000002	40
694.57	380.28432	692.37310000002	696.76960000002	40
689.74	380.28448	687.54949999998	692.37310000002	40
711.24	381.29637	709.48990000002	712.9908	40
707.3	381.29674	705.1017	709.48990000002	40
712.99	413.26475	710.8035	714.74599999998	40
501.93	448.21745	499.29469999998	504.1221	40
501.93	453.17281	499.29469999998	504.1221	50
695.01	466.40921	691.05670000002	698.95609999998	40
659.9	502.29185	657.70759999998	662.5338	40
653.76	502.29201	651.56389999998	657.70759999998	40
659.9	503.2954	657.70759999998	662.5338	40
653.76	503.29558	651.56389999998	657.70759999998	40
711.24	546.3515	709.48990000002	713.43010000002	40
707.3	546.35172	705.53749999998	709.48990000002	40
548.44	587.39008	544.93429999998	551.0748	40
639.72	651.42731	637.9602	641.90989999998	40
656.83	655.4585	654.63799999998	658.58509999998	40
633.57	679.38541	631.3779	635.77069999998	40
