RT	MZ	LeftRTBorder	RightRTBorder	MZDeviation
544.62	515.00232	541	554	600
342.85	758.60339	337	351	543
342.85	759.57068	337	351	543
335.09	766.5816	328	341	391
589.25	537.18738	587	593	620
74.93	149.02133	71	80	613
74.93	150.02007	71	80	613
105	149.032	102	110	700
105	150.03844	102	110	700
75	167.02988	72	80	600
105	167.04056	102	110	800
105	168.04262	102	110	800
139	167.02835	131	147	500
105	168.04626	102	110	500
489	166.0778	484	498	491
521	166.94682	517	527	490
562	169.02905	559	568	531
591	169.05797	586	600	620
548.31	174.01094	544	552	480
537.64	174.1256	533	543	523
524	176.00755	520	528	500
513	176.13707	508	520	560
513	177.13916	508	520	560
537	18.05365	534	542	560
550	180.08336	545	556	560
458	182.10597	543	463	600
533	182.07939	530	541	760
533	184.08865	529	540	670
567	184.09976	564	574	600
533	185.09741	529	540	670
567	185.10072	564	574	600
592	185.02884	588	599	460
545	186.9944	541	555	700
545	188.00317	541	555	700
545	188.99884	541	555	700
484	188.06346	479	492	590
592	188.03162	589	599	420
632	188.17363	628	640	590
508	202.15681	504	515	660
552	202.06587	547	558	560
620	203.14767	615	630	480
508	203.15642	505	513	525
546	203.04595	540	554	660
484	205.09468	479	490	562
451	207.21201	448	455	480
451	208.21571	448	455	480
562	213.00937	559	568	500
599	214.0589	596	605	550
647	215.08163	644	650	630
647	216.07893	644	650	630
496	216.17848	494	503	600
441	216.99977	438	450	600
375	227.11926	370	383	534
80	244.18637	77	87	590
74	279.1583	71	81	480
105	279.16794	102	110	760
441	301.09204	435	450	330
568	301.18079	565	573	430
580	305.06219	577	583	330
411	305.19995	405	418	460
411	306.19623	405	418	460
547	307.03281	545	553	300
402	310.20004	393	410	480
553	312.0361	549	560	400
591	315.12439	587	597	440
569	315.16574	566	573	450
614	317.09055	611	618	355
522	316.91473	518	527	355
94	330.26022	92	99	730
111	331.2446	107	115	730
81	333.24985	76	86	850
105	337.22098	102	110	752
100	344.23359	98	105	680
85	346.27441	83	89	770
111	348.28143	108	115	620
121	288.24991	117	128	670
337	635.41907	375	383	400
377	637.43732	371	383	387
377	638.44043	373	382	380
363	675.55042	357	370	530
378	675.55042	375	383	530
346	724.53516	343	350	500
343	732.54602	340	350	490
350	740.53552	347	355	420
342	758.57843	338	348	500
342	756.55072	338	348	500
334	766.57068	330	340	430
351	774.55664	347	357	400
339	780.54718	336	344	480
545	802.01221	542	550	400
548	799.03845	544	553	450
372	975.66962	370	378	300
385	975.66962	382	390	300
396	975.66962	392	400	300
73	977.74908	69	80	270
77	978.2572	74	83	270
111	986.65771	109	115	320
